# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=0) -> e + D2(B1Su) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2*log(x)/x + a1/x + a2/x^2 + a3/x^3 + a4/x^4 + a5/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4            a5
   0 <-  0  1.12366E+01    5.54180E-02   4.53500E-03  -2.53020E-02   6.10600E-02  -6.32740E-02   2.54180E-02
   1 <-  0  1.13536E+01    1.19850E-01   2.09940E-02  -1.17200E-01   2.81340E-01  -2.89540E-01   1.15420E-01
   2 <-  0  1.14681E+01    1.94230E-01   5.43550E-02  -3.04260E-01   7.28550E-01  -7.46880E-01   2.96280E-01
   3 <-  0  1.15804E+01    2.71230E-01   1.02560E-01  -5.77520E-01   1.38150E+00  -1.41050E+00   5.56650E-01
   4 <-  0  1.16905E+01    3.44810E-01   1.56530E-01  -8.90300E-01   2.12980E+00  -2.16250E+00   8.47690E-01
   5 <-  0  1.17985E+01    4.10270E-01   2.05390E-01  -1.18490E+00   2.83880E+00  -2.86490E+00   1.11460E+00
   6 <-  0  1.19044E+01    4.64460E-01   2.40750E-01  -1.41470E+00   3.40060E+00  -3.41210E+00   1.31780E+00
   7 <-  0  1.20082E+01    5.04290E-01   2.64380E-01  -1.58340E+00   3.83370E+00  -3.85100E+00   1.48700E+00
   8 <-  0  1.21100E+01    5.32350E-01   2.65370E-01  -1.63090E+00   3.97380E+00  -3.97280E+00   1.52390E+00
   9 <-  0  1.22098E+01    5.47880E-01   2.52160E-01  -1.59570E+00   3.91580E+00  -3.89570E+00   1.48370E+00
  10 <-  0  1.23076E+01    5.51970E-01   2.30230E-01  -1.50280E+00   3.71490E+00  -3.67770E+00   1.39030E+00
  11 <-  0  1.24034E+01    5.46040E-01   2.05210E-01  -1.38010E+00   3.43490E+00  -3.38650E+00   1.27140E+00
  12 <-  0  1.24973E+01    5.30680E-01   1.85360E-01  -1.27000E+00   3.18210E+00  -3.14690E+00   1.18300E+00
  13 <-  0  1.25892E+01    5.10310E-01   1.61710E-01  -1.12980E+00   2.83800E+00  -2.79310E+00   1.04160E+00
  14 <-  0  1.26792E+01    4.85140E-01   1.41340E-01  -9.98180E-01   2.50590E+00  -2.45350E+00   9.07070E-01
  15 <-  0  1.27674E+01    4.56650E-01   1.24430E-01  -8.79130E-01   2.19860E+00  -2.14130E+00   7.84620E-01
  16 <-  0  1.28537E+01    4.26170E-01   1.10640E-01  -7.74080E-01   1.92290E+00  -1.86390E+00   6.77270E-01
  17 <-  0  1.29382E+01    3.94460E-01   1.00400E-01  -6.87490E-01   1.69390E+00  -1.64070E+00   5.94270E-01
  18 <-  0  1.30208E+01    3.63280E-01   9.03920E-02  -6.04570E-01   1.47420E+00  -1.42320E+00   5.12190E-01
  19 <-  0  1.31017E+01    3.33430E-01   8.01780E-02  -5.24280E-01   1.26290E+00  -1.21080E+00   4.30880E-01
  20 <-  0  1.31808E+01    3.05020E-01   7.06840E-02  -4.51750E-01   1.07450E+00  -1.02280E+00   3.59670E-01
  21 <-  0  1.32582E+01    2.78260E-01   6.20150E-02  -3.87540E-01   9.10840E-01  -8.62030E-01   3.00010E-01
  22 <-  0  1.33338E+01    2.53310E-01   5.40880E-02  -3.31010E-01   7.69840E-01  -7.25920E-01   2.50740E-01
  23 <-  0  1.34077E+01    2.30230E-01   4.69490E-02  -2.81920E-01   6.50230E-01  -6.12870E-01   2.11020E-01
  24 <-  0  1.34800E+01    2.09350E-01   3.99770E-02  -2.36640E-01   5.41540E-01  -5.09230E-01   1.74250E-01
  25 <-  0  1.35506E+01    1.90650E-01   3.33140E-02  -1.95360E-01   4.43640E-01  -4.14970E-01   1.40470E-01
  26 <-  0  1.36196E+01    1.73720E-01   2.74580E-02  -1.60030E-01   3.61210E-01  -3.36410E-01   1.12750E-01
  27 <-  0  1.36869E+01    1.58380E-01   2.24430E-02  -1.30390E-01   2.93070E-01  -2.72250E-01   9.05440E-02
  28 <-  0  1.37527E+01    1.44440E-01   1.82890E-02  -1.06170E-01   2.38260E-01  -2.21620E-01   7.35520E-02
  29 <-  0  1.38169E+01    1.31800E-01   1.48540E-02  -8.63490E-02   1.93910E-01  -1.81130E-01   6.02560E-02
  30 <-  0  1.38795E+01    1.20330E-01   1.20350E-02  -7.02000E-02   1.58020E-01  -1.48550E-01   4.96960E-02
  31 <-  0  1.39406E+01    1.10060E-01   9.62220E-03  -5.65010E-02   1.27380E-01  -1.20100E-01   4.01920E-02
  32 <-  0  1.40001E+01    1.00690E-01   7.71670E-03  -4.56360E-02   1.03140E-01  -9.77010E-02   3.28030E-02
  33 <-  0  1.40580E+01    9.21120E-02   6.23400E-03  -3.70990E-02   8.40930E-02  -8.01530E-02   2.70760E-02
  34 <-  0  1.41145E+01    8.42300E-02   5.09830E-03  -3.04540E-02   6.92260E-02  -6.64860E-02   2.26620E-02
  35 <-  0  1.41694E+01    7.69750E-02   4.23700E-03  -2.53060E-02   5.76420E-02  -5.58280E-02   1.92420E-02
  36 <-  0  1.42227E+01    7.02940E-02   3.58330E-03  -2.12960E-02   4.85320E-02  -4.73870E-02   1.65240E-02
  37 <-  0  1.42744E+01    6.41510E-02   3.07990E-03  -1.81260E-02   4.12310E-02  -4.05140E-02   1.42720E-02
  38 <-  0  1.43246E+01    5.85040E-02   2.68690E-03  -1.55870E-02   3.52890E-02  -3.48030E-02   1.23520E-02
  39 <-  0  1.43731E+01    5.33010E-02   2.37950E-03  -1.35500E-02   3.04500E-02  -3.00690E-02   1.07270E-02
  40 <-  0  1.44199E+01    4.84350E-02   2.15930E-03  -1.20150E-02   2.67990E-02  -2.65430E-02   9.54900E-03
  41 <-  0  1.44650E+01    4.39980E-02   1.95770E-03  -1.06390E-02   2.34700E-02  -2.31870E-02   8.35240E-03
  42 <-  0  1.45081E+01    3.98690E-02   1.79290E-03  -9.50810E-03   2.07390E-02  -2.04370E-02   7.37370E-03
  43 <-  0  1.45492E+01    3.60260E-02   1.64800E-03  -8.53260E-03   1.84050E-02  -1.80830E-02   6.53290E-03
  44 <-  0  1.45881E+01    3.24490E-02   1.50920E-03  -7.64040E-03   1.62980E-02  -1.59540E-02   5.76320E-03
  45 <-  0  1.46244E+01    2.90970E-02   1.36870E-03  -6.78930E-03   1.43290E-02  -1.39660E-02   5.03980E-03
  46 <-  0  1.46579E+01    2.59160E-02   1.21970E-03  -5.94230E-03   1.24190E-02  -1.20490E-02   4.34070E-03
  47 <-  0  1.46879E+01    2.28280E-02   1.05450E-03  -5.05940E-03   1.04830E-02  -1.01260E-02   3.64050E-03
  48 <-  0  1.47137E+01    1.97010E-02   8.63780E-04  -4.09260E-03   8.41590E-03  -8.09550E-03   2.90330E-03
  49 <-  0  1.47342E+01    1.62740E-02   6.37130E-04  -2.98990E-03   6.11280E-03  -5.86000E-03   2.09720E-03
  50 <-  0  1.47482E+01    1.20630E-02   3.69480E-04  -1.72300E-03   3.50890E-03  -3.35600E-03   1.19930E-03
  51 <-  0  1.47550E+01    7.42640E-03   1.43800E-04  -6.68590E-04   1.35910E-03  -1.29840E-03   4.63640E-04
  52 <-  0  1.47577E+01    4.88600E-03   6.29000E-05  -2.92110E-04   5.93340E-04  -5.66580E-04   2.02260E-04
  53 <-  0  1.47589E+01    3.43450E-03   3.12360E-05  -1.44980E-04   2.94400E-04  -2.81070E-04   1.00330E-04
  54 <-  0  1.47595E+01    2.40240E-03   1.53210E-05  -7.10920E-05   1.44330E-04  -1.37780E-04   4.91790E-05
