# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=0) -> e + D2(B1Su) (sum over all final vibrational levels)
# Initial-state energy: -1.16742 Hartrees
#
# Threshold: 1.12366E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.12366E+01   0.00000E+00
  1.15000E+01   1.78017E-04
  1.20000E+01   7.06172E-03
  1.25000E+01   3.59151E-02
  1.30000E+01   8.48530E-02
  1.35000E+01   1.39747E-01
  1.40000E+01   1.92986E-01
  1.45000E+01   2.42901E-01
  1.50000E+01   2.89641E-01
  1.55000E+01   3.33525E-01
  1.60000E+01   3.74883E-01
  1.65000E+01   4.13916E-01
  1.70000E+01   4.50828E-01
  1.75000E+01   4.85760E-01
  1.80000E+01   5.18874E-01
  1.85000E+01   5.50339E-01
  1.90000E+01   5.80238E-01
  1.95000E+01   6.08700E-01
  2.00000E+01   6.35833E-01
  2.10000E+01   6.86310E-01
  2.20000E+01   7.32313E-01
  2.30000E+01   7.74309E-01
  2.40000E+01   8.12795E-01
  2.50000E+01   8.48029E-01
  2.60000E+01   8.80355E-01
  2.70000E+01   9.10019E-01
  2.80000E+01   9.37271E-01
  2.90000E+01   9.62335E-01
  3.00000E+01   9.85386E-01
  3.50000E+01   1.07553E+00
  4.00000E+01   1.13448E+00
  4.50000E+01   1.17172E+00
  5.00000E+01   1.19370E+00
  6.00000E+01   1.20774E+00
  7.00000E+01   1.19794E+00
  8.00000E+01   1.17536E+00
  9.00000E+01   1.14611E+00
  1.00000E+02   1.11365E+00
  1.25000E+02   1.02973E+00
  1.50000E+02   9.50883E-01
  2.00000E+02   8.18693E-01
  2.50000E+02   7.16982E-01
  3.00000E+02   6.37796E-01
  3.50000E+02   5.74737E-01
  4.00000E+02   5.23202E-01
  4.50000E+02   4.80067E-01
  5.00000E+02   4.43130E-01
