# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=0) -> e + D2(Bp1Su) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2*log(x)/x + a1/x + a2/x^2 + a3/x^3 + a4/x^4 + a5/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4            a5
   0 <-  0  1.37384E+01    9.07640E-02   2.39130E-02  -1.01580E-01   2.13480E-01  -2.05190E-01   7.69530E-02
   1 <-  0  1.39080E+01    1.52180E-01   6.64060E-02  -2.84910E-01   5.94090E-01  -5.64420E-01   2.08020E-01
   2 <-  0  1.40678E+01    1.93650E-01   1.05520E-01  -4.57650E-01   9.50220E-01  -8.96370E-01   3.26360E-01
   3 <-  0  1.42171E+01    2.15900E-01   1.24690E-01  -5.45610E-01   1.12540E+00  -1.04850E+00   3.74890E-01
   4 <-  0  1.43550E+01    2.21050E-01   1.23790E-01  -5.46300E-01   1.12120E+00  -1.03400E+00   3.64010E-01
   5 <-  0  1.44798E+01    2.12370E-01   1.09570E-01  -4.87610E-01   9.99380E-01  -9.18140E-01   3.20830E-01
   6 <-  0  1.45885E+01    1.93960E-01   8.60660E-02  -3.85060E-01   7.85220E-01  -7.13830E-01   2.45580E-01
   7 <-  0  1.46754E+01    1.62750E-01   5.76620E-02  -2.58960E-01   5.26030E-01  -4.74260E-01   1.61150E-01
   8 <-  0  1.47254E+01    8.69200E-02   1.59710E-02  -7.18660E-02   1.45650E-01  -1.30670E-01   4.40770E-02
   9 <-  0  1.47361E+01    6.36120E-02   8.50190E-03  -3.82720E-02   7.75280E-02  -6.94900E-02   2.34040E-02
  10 <-  0  1.47454E+01    5.25050E-02   5.76060E-03  -2.59410E-02   5.25280E-02  -4.70430E-02   1.58240E-02
  11 <-  0  1.47521E+01    4.31540E-02   3.87680E-03  -1.74620E-02   3.53500E-02  -3.16410E-02   1.06340E-02
  12 <-  0  1.47567E+01    3.57600E-02   2.65500E-03  -1.19610E-02   2.42080E-02  -2.16580E-02   7.27420E-03
  13 <-  0  1.47596E+01    2.51020E-02   1.30590E-03  -5.88360E-03   1.19070E-02  -1.06500E-02   3.57520E-03
  DE <-  0  1.47600E+01    4.64690E-01   3.19090E-01  -1.51390E+00   2.97290E+00  -2.44790E+00   6.97620E-01
