# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=0) -> e + D2(EF1Sg) (sum over all final vibrational levels)
# Initial-state energy: -1.16742 Hartrees
#
# Threshold: 1.23342E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.23342E+01   0.00000E+00
  1.25000E+01   6.74147E-04
  1.30000E+01   1.95665E-02
  1.35000E+01   7.44847E-02
  1.40000E+01   1.33739E-01
  1.45000E+01   1.64570E-01
  1.50000E+01   1.67186E-01
  1.55000E+01   1.65689E-01
  1.60000E+01   1.66712E-01
  1.65000E+01   1.67184E-01
  1.70000E+01   1.66004E-01
  1.75000E+01   1.65876E-01
  1.80000E+01   1.66867E-01
  1.85000E+01   1.66919E-01
  1.90000E+01   1.65490E-01
  1.95000E+01   1.63781E-01
  2.00000E+01   1.62494E-01
  2.10000E+01   1.60768E-01
  2.20000E+01   1.59525E-01
  2.30000E+01   1.58153E-01
  2.40000E+01   1.56529E-01
  2.50000E+01   1.54827E-01
  2.60000E+01   1.53332E-01
  2.70000E+01   1.51889E-01
  2.80000E+01   1.50546E-01
  2.90000E+01   1.49434E-01
  3.00000E+01   1.48703E-01
  3.50000E+01   1.47401E-01
  4.00000E+01   1.47048E-01
  4.50000E+01   1.46247E-01
  5.00000E+01   1.44788E-01
  6.00000E+01   1.40249E-01
  7.00000E+01   1.32277E-01
  8.00000E+01   1.24721E-01
  9.00000E+01   1.18634E-01
  1.00000E+02   1.13557E-01
  1.25000E+02   1.03396E-01
  1.50000E+02   9.39710E-02
  2.00000E+02   7.66771E-02
  2.50000E+02   6.09203E-02
  3.00000E+02   4.89786E-02
  3.50000E+02   4.25985E-02
  4.00000E+02   3.82995E-02
  4.50000E+02   3.40670E-02
  5.00000E+02   3.14095E-02
