# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=2) -> e + D2(a3Sg) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2/x + a1/x^2 + a2/x^3 + a3/x^4 + a4/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4
   0 <-  2  1.10964E+01    2.54280E-01  -1.29870E+00   8.33790E+00  -1.80070E+01   1.44840E+01
   1 <-  2  1.13215E+01    7.89410E-03  -1.12320E-03   6.31060E-03  -1.06600E-02   5.57380E-03
   2 <-  2  1.15381E+01    1.40310E-01  -3.89740E-01   2.47680E+00  -5.38990E+00   4.35660E+00
   3 <-  2  1.17462E+01    1.64320E-01  -5.25100E-01   3.26380E+00  -6.98970E+00   5.48980E+00
   4 <-  2  1.19461E+01    1.05500E-01  -2.14240E-01   1.31980E+00  -2.80760E+00   2.18790E+00
   5 <-  2  1.21380E+01    2.96760E-02  -1.69000E-02   1.03380E-01  -2.22370E-01   1.73200E-01
   6 <-  2  1.23219E+01    3.65720E-02  -2.49030E-02   1.49540E-01  -3.04320E-01   2.28280E-01
   7 <-  2  1.24978E+01    7.80050E-02  -1.13300E-01   6.82400E-01  -1.40430E+00   1.06980E+00
   8 <-  2  1.26659E+01    1.04670E-01  -2.02320E-01   1.20560E+00  -2.48040E+00   1.87490E+00
   9 <-  2  1.28261E+01    1.14160E-01  -2.39000E-01   1.41540E+00  -2.90930E+00   2.19400E+00
  10 <-  2  1.29784E+01    1.08210E-01  -2.13990E-01   1.26970E+00  -2.61120E+00   1.98690E+00
  11 <-  2  1.31225E+01    1.01840E-01  -1.88240E-01   1.11050E+00  -2.27750E+00   1.72740E+00
  12 <-  2  1.32584E+01    9.28350E-02  -1.55260E-01   9.09940E-01  -1.85680E+00   1.40110E+00
  13 <-  2  1.33857E+01    8.12830E-02  -1.18240E-01   6.90320E-01  -1.40020E+00   1.05470E+00
  14 <-  2  1.35039E+01    6.81180E-02  -8.26530E-02   4.83100E-01  -9.73450E-01   7.36640E-01
  15 <-  2  1.36125E+01    5.98040E-02  -6.31370E-02   3.65700E-01  -7.28940E-01   5.45560E-01
  16 <-  2  1.37107E+01    5.19280E-02  -4.71920E-02   2.71010E-01  -5.33910E-01   3.95210E-01
  17 <-  2  1.37972E+01    4.44210E-02  -3.42620E-02   1.95320E-01  -3.80300E-01   2.78800E-01
  18 <-  2  1.38708E+01    3.70690E-02  -2.37020E-02   1.34450E-01  -2.58840E-01   1.88500E-01
  19 <-  2  1.39298E+01    2.98340E-02  -1.52770E-02   8.64620E-02  -1.64760E-01   1.19660E-01
  20 <-  2  1.39725E+01    2.27660E-02  -8.86700E-03   5.01820E-02  -9.48290E-02   6.88860E-02
  21 <-  2  1.39990E+01    1.61140E-02  -4.43410E-03   2.51220E-02  -4.71960E-02   3.43440E-02
  22 <-  2  1.40124E+01    1.07790E-02  -1.98090E-03   1.12060E-02  -2.09960E-02   1.52440E-02
  23 <-  2  1.40188E+01    8.07060E-03  -1.10970E-03   6.27250E-03  -1.17380E-02   8.51220E-03
  24 <-  2  1.40233E+01    7.15870E-03  -8.72660E-04   4.92960E-03  -9.21650E-03   6.67820E-03
  25 <-  2  1.40267E+01    6.04310E-03  -6.21600E-04   3.50980E-03  -6.55760E-03   4.74860E-03
  26 <-  2  1.40291E+01    4.85380E-03  -4.00900E-04   2.26300E-03  -4.22610E-03   3.05900E-03
  27 <-  2  1.40305E+01    3.73970E-03  -2.37950E-04   1.34290E-03  -2.50710E-03   1.81420E-03
  28 <-  2  1.40314E+01    2.77630E-03  -1.31120E-04   7.39940E-04  -1.38120E-03   9.99320E-04
  29 <-  2  1.40318E+01    1.97570E-03  -6.64020E-05   3.74700E-04  -6.99360E-04   5.05960E-04
  30 <-  2  1.40320E+01    1.45690E-03  -3.61050E-05   2.03730E-04  -3.80230E-04   2.75070E-04
  DE <-  2  1.40322E+01    2.38480E-02  -7.55170E-03   5.36440E-02   7.03490E-03   2.15880E-02
