# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=0) -> e + D2(a3Sg) (sum over all final vibrational levels)
# Initial-state energy: -1.16742 Hartrees
#
# Threshold: 1.18243E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.18243E+01   0.00000E+00
  1.20000E+01   4.32816E-02
  1.25000E+01   2.37789E-01
  1.30000E+01   4.00340E-01
  1.35000E+01   4.73488E-01
  1.40000E+01   4.86849E-01
  1.45000E+01   4.70092E-01
  1.50000E+01   4.42309E-01
  1.55000E+01   4.11054E-01
  1.60000E+01   3.79992E-01
  1.65000E+01   3.50931E-01
  1.70000E+01   3.23769E-01
  1.75000E+01   2.98661E-01
  1.80000E+01   2.76035E-01
  1.85000E+01   2.55216E-01
  1.90000E+01   2.36344E-01
  1.95000E+01   2.19213E-01
  2.00000E+01   2.03666E-01
  2.10000E+01   1.76501E-01
  2.20000E+01   1.53877E-01
  2.30000E+01   1.34955E-01
  2.40000E+01   1.19035E-01
  2.50000E+01   1.05387E-01
  2.60000E+01   9.37871E-02
  2.70000E+01   8.38232E-02
  2.80000E+01   7.52194E-02
  2.90000E+01   6.77528E-02
  3.00000E+01   6.12157E-02
  3.50000E+01   3.86419E-02
  4.00000E+01   2.58994E-02
  4.50000E+01   1.82099E-02
  5.00000E+01   1.32798E-02
  6.00000E+01   7.69229E-03
  7.00000E+01   4.84619E-03
  8.00000E+01   3.24787E-03
  9.00000E+01   2.28188E-03
  1.00000E+02   1.66342E-03
  1.25000E+02   8.52146E-04
  1.50000E+02   4.92920E-04
