# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=1) -> e + D2(c3Pu) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2/x + a1/x^2 + a2/x^3 + a3/x^4 + a4/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4
   0 <-  1  1.14338E+01    1.81600E-01  -6.11280E-01   4.38350E+00  -7.97360E+00   6.11260E+00
   1 <-  1  1.16425E+01    1.80850E-01  -5.98630E-01   4.30060E+00  -7.71380E+00   5.85010E+00
   2 <-  1  1.18434E+01    1.19770E-01  -2.59140E-01   1.87420E+00  -3.29710E+00   2.47330E+00
   3 <-  1  1.20368E+01    4.37740E-02  -3.42260E-02   2.64630E-01  -4.40840E-01   3.31430E-01
   4 <-  1  1.22228E+01    1.44310E-02  -3.70060E-03   2.34060E-02  -4.57630E-02   3.38880E-02
   5 <-  1  1.24014E+01    5.41040E-02  -5.12700E-02   3.62410E-01  -6.41170E-01   4.74950E-01
   6 <-  1  1.25729E+01    7.50140E-02  -9.74800E-02   7.10130E-01  -1.22060E+00   9.01860E-01
   7 <-  1  1.27374E+01    8.45890E-02  -1.22570E-01   8.99500E-01  -1.52000E+00   1.11380E+00
   8 <-  1  1.28947E+01    7.38270E-02  -9.26640E-02   7.55370E-01  -1.22170E+00   9.22170E-01
   9 <-  1  1.30451E+01    7.61260E-02  -9.74000E-02   7.54400E-01  -1.22600E+00   9.01060E-01
  10 <-  1  1.31884E+01    7.00380E-02  -8.16930E-02   6.32160E-01  -1.01900E+00   7.43900E-01
  11 <-  1  1.33249E+01    5.88730E-02  -5.72650E-02   4.62790E-01  -7.31360E-01   5.39100E-01
  12 <-  1  1.34546E+01   -4.41070E-07   3.02420E-03   1.06890E-01  -7.81920E-02   1.10250E-01
  13 <-  1  1.35770E+01    4.82950E-02  -3.80410E-02   2.94040E-01  -4.68620E-01   3.38560E-01
  14 <-  1  1.36920E+01    4.31610E-02  -3.02230E-02   2.29510E-01  -3.67350E-01   2.63580E-01
  15 <-  1  1.37993E+01    3.72350E-02  -2.23950E-02   1.70770E-01  -2.73030E-01   1.96210E-01
  16 <-  1  1.38988E+01    2.43000E-02  -9.51580E-03   9.19070E-02  -1.38480E-01   1.07220E-01
  17 <-  1  1.39901E+01   -6.74590E-06   1.06980E-02  -6.57130E-02   2.05270E-01  -1.33030E-01
  18 <-  1  1.40729E+01    2.66430E-02  -1.13680E-02   8.10160E-02  -1.32500E-01   9.33730E-02
  19 <-  1  1.41467E+01    2.36180E-02  -8.91600E-03   6.23890E-02  -1.02650E-01   7.19820E-02
  20 <-  1  1.42111E+01    2.06120E-02  -6.78090E-03   4.69130E-02  -7.74770E-02   5.42010E-02
  21 <-  1  1.42654E+01    1.76280E-02  -4.95420E-03   3.41190E-02  -5.64430E-02   3.94860E-02
  22 <-  1  1.43091E+01    1.46640E-02  -3.42640E-03   2.36380E-02  -3.90990E-02   2.74130E-02
  23 <-  1  1.43418E+01    1.16930E-02  -2.17790E-03   1.51490E-02  -2.50110E-02   1.76130E-02
  24 <-  1  1.43638E+01    8.76820E-03  -1.22480E-03   8.63220E-03  -1.42080E-02   1.00660E-02
  25 <-  1  1.43765E+01    6.14380E-03  -6.01540E-04   4.30320E-03  -7.05760E-03   5.03160E-03
  26 <-  1  1.43830E+01    4.20500E-03  -2.81890E-04   2.04000E-03  -3.33660E-03   2.39000E-03
  27 <-  1  1.43862E+01    2.88980E-03  -1.33150E-04   9.70910E-04  -1.58520E-03   1.13890E-03
  28 <-  1  1.43877E+01    1.95070E-03  -6.06800E-05   4.44380E-04  -7.24820E-04   5.21630E-04
  29 <-  1  1.43884E+01    1.26050E-03  -2.53400E-05   1.85920E-04  -3.03110E-04   2.18300E-04
  30 <-  1  1.43886E+01    7.74770E-04  -9.57320E-06   7.02930E-05  -1.14580E-04   8.25470E-05
  DE <-  1  1.43888E+01    4.04700E-06   2.95520E-03   2.42110E-02   1.52760E-02   8.89460E-03
