# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=0) -> e + D2(c3Pu) (sum over all final vibrational levels)
# Initial-state energy: -1.16742 Hartrees
#
# Threshold: 1.18051E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.18051E+01   0.00000E+00
  1.20000E+01   9.46996E-03
  1.25000E+01   9.32287E-02
  1.30000E+01   2.15792E-01
  1.35000E+01   3.17685E-01
  1.40000E+01   3.81335E-01
  1.45000E+01   4.16531E-01
  1.50000E+01   4.33854E-01
  1.55000E+01   4.40009E-01
  1.60000E+01   4.38752E-01
  1.65000E+01   4.32328E-01
  1.70000E+01   4.22474E-01
  1.75000E+01   4.10414E-01
  1.80000E+01   3.97059E-01
  1.85000E+01   3.83123E-01
  1.90000E+01   3.68976E-01
  1.95000E+01   3.54746E-01
  2.00000E+01   3.40589E-01
  2.10000E+01   3.13197E-01
  2.20000E+01   2.87528E-01
  2.30000E+01   2.63884E-01
  2.40000E+01   2.42278E-01
  2.50000E+01   2.22635E-01
  2.60000E+01   2.04831E-01
  2.70000E+01   1.88714E-01
  2.80000E+01   1.74129E-01
  2.90000E+01   1.60933E-01
  3.00000E+01   1.48953E-01
  3.50000E+01   1.03691E-01
  4.00000E+01   7.48464E-02
  4.50000E+01   5.57723E-02
  5.00000E+01   4.26605E-02
  6.00000E+01   2.66260E-02
  7.00000E+01   1.77575E-02
  8.00000E+01   1.24495E-02
  9.00000E+01   9.07430E-03
  1.00000E+02   6.82501E-03
  1.25000E+02   3.71670E-03
  1.50000E+02   2.25094E-03
