# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=0) -> e + D2(Bp1Su) (sum over all final vibrational levels)
# Initial-state energy: -1.16742 Hartrees
#
# Threshold: 1.37384E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.37384E+01   0.00000E+00
  1.40000E+01   1.27072E-04
  1.45000E+01   2.27060E-03
  1.50000E+01   7.25687E-03
  1.55000E+01   1.37634E-02
  1.60000E+01   2.07533E-02
  1.65000E+01   2.77261E-02
  1.70000E+01   3.44768E-02
  1.75000E+01   4.09594E-02
  1.80000E+01   4.71703E-02
  1.85000E+01   5.31185E-02
  1.90000E+01   5.88199E-02
  1.95000E+01   6.42850E-02
  2.00000E+01   6.95261E-02
  2.10000E+01   7.93792E-02
  2.20000E+01   8.84676E-02
  2.30000E+01   9.68576E-02
  2.40000E+01   1.04615E-01
  2.50000E+01   1.11797E-01
  2.60000E+01   1.18450E-01
  2.70000E+01   1.24620E-01
  2.80000E+01   1.30345E-01
  2.90000E+01   1.35659E-01
  3.00000E+01   1.40603E-01
  3.50000E+01   1.60506E-01
  4.00000E+01   1.74406E-01
  4.50000E+01   1.83943E-01
  5.00000E+01   1.90355E-01
  6.00000E+01   1.96854E-01
  7.00000E+01   1.98121E-01
  8.00000E+01   1.96416E-01
  9.00000E+01   1.93014E-01
  1.00000E+02   1.88669E-01
  1.25000E+02   1.76201E-01
  1.50000E+02   1.63647E-01
  2.00000E+02   1.41589E-01
  2.50000E+02   1.24009E-01
  3.00000E+02   1.10041E-01
  3.50000E+02   9.87882E-02
  4.00000E+02   8.95682E-02
  4.50000E+02   8.18798E-02
  5.00000E+02   7.53988E-02
