# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=0) -> e + D2(C1Pu) (sum over all final vibrational levels)
# Initial-state energy: -1.16742 Hartrees
#
# Threshold: 1.23259E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.23259E+01   0.00000E+00
  1.25000E+01   2.59903E-04
  1.30000E+01   9.78271E-03
  1.35000E+01   3.70999E-02
  1.40000E+01   7.36073E-02
  1.45000E+01   1.12215E-01
  1.50000E+01   1.50494E-01
  1.55000E+01   1.87715E-01
  1.60000E+01   2.23654E-01
  1.65000E+01   2.58204E-01
  1.70000E+01   2.91400E-01
  1.75000E+01   3.23310E-01
  1.80000E+01   3.54000E-01
  1.85000E+01   3.83516E-01
  1.90000E+01   4.11939E-01
  1.95000E+01   4.39357E-01
  2.00000E+01   4.65734E-01
  2.10000E+01   5.15638E-01
  2.20000E+01   5.62174E-01
  2.30000E+01   6.05464E-01
  2.40000E+01   6.45852E-01
  2.50000E+01   6.83552E-01
  2.60000E+01   7.18777E-01
  2.70000E+01   7.51714E-01
  2.80000E+01   7.82513E-01
  2.90000E+01   8.11341E-01
  3.00000E+01   8.38363E-01
  3.50000E+01   9.49726E-01
  4.00000E+01   1.03011E+00
  4.50000E+01   1.08754E+00
  5.00000E+01   1.12789E+00
  6.00000E+01   1.17261E+00
  7.00000E+01   1.18590E+00
  8.00000E+01   1.18035E+00
  9.00000E+01   1.16337E+00
  1.00000E+02   1.13962E+00
  1.25000E+02   1.06715E+00
  1.50000E+02   9.91553E-01
  2.00000E+02   8.57235E-01
  2.50000E+02   7.51489E-01
  3.00000E+02   6.69469E-01
  3.50000E+02   6.04775E-01
  4.00000E+02   5.52309E-01
  4.50000E+02   5.08226E-01
  5.00000E+02   4.69746E-01
