# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=0) -> e + D2(D1Pu) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2*log(x)/x + a1/x + a2/x^2 + a3/x^3 + a4/x^4 + a5/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4            a5
   0 <-  0  1.40372E+01    1.54440E-01   9.41100E-02  -4.80520E-01   1.03300E+00  -9.95970E-01   3.61760E-01
   1 <-  0  1.42358E+01    2.39000E-01   2.09580E-01  -1.06620E+00   2.27380E+00  -2.16970E+00   7.78900E-01
   2 <-  0  1.44264E+01    2.85250E-01   2.66910E-01  -1.35820E+00   2.88100E+00  -2.72510E+00   9.69120E-01
   3 <-  0  1.46090E+01    3.01710E-01   2.54080E-01  -1.29930E+00   2.73850E+00  -2.55530E+00   8.94560E-01
   4 <-  0  1.47837E+01    2.95870E-01   2.04490E-01  -1.05550E+00   2.21380E+00  -2.03610E+00   7.00720E-01
   5 <-  0  1.49508E+01    2.75300E-01   1.49230E-01  -7.80360E-01   1.63430E+00  -1.48670E+00   5.05070E-01
   6 <-  0  1.51104E+01    2.48160E-01   1.00510E-01  -5.34950E-01   1.11660E+00  -9.98300E-01   3.31660E-01
   7 <-  0  1.52624E+01    2.18340E-01   6.45730E-02  -3.51250E-01   7.31130E-01  -6.41770E-01   2.07950E-01
   8 <-  0  1.54071E+01    1.88890E-01   4.02900E-02  -2.24770E-01   4.67000E-01  -4.02770E-01   1.27290E-01
   9 <-  0  1.55444E+01    1.61890E-01   2.42950E-02  -1.39660E-01   2.88470E-01  -2.42100E-01   7.34170E-02
  10 <-  0  1.56744E+01    1.37780E-01   1.44110E-02  -8.55620E-02   1.74790E-01  -1.41270E-01   4.02850E-02
  11 <-  0  1.57969E+01    1.16470E-01   8.74310E-03  -5.31970E-02   1.06970E-01  -8.28800E-02   2.19140E-02
  12 <-  0  1.59121E+01    9.78070E-02   5.69690E-03  -3.46770E-02   6.83140E-02  -5.09350E-02   1.25050E-02
  13 <-  0  1.60197E+01    8.15940E-02   4.14960E-03  -2.43850E-02   4.69230E-02  -3.41760E-02   8.01840E-03
  14 <-  0  1.61196E+01    6.75190E-02   3.42400E-03  -1.88650E-02   3.56410E-02  -2.61830E-02   6.31200E-03
  15 <-  0  1.62118E+01    5.53520E-02   3.07660E-03  -1.58070E-02   2.95990E-02  -2.25030E-02   5.86010E-03
  16 <-  0  1.62959E+01    4.49120E-02   2.85160E-03  -1.38330E-02   2.58630E-02  -2.04780E-02   5.76580E-03
  17 <-  0  1.63718E+01    3.60250E-02   2.62840E-03  -1.22350E-02   2.29380E-02  -1.88280E-02   5.63400E-03
  18 <-  0  1.64391E+01    2.85260E-02   2.36220E-03  -1.06940E-02   2.01360E-02  -1.70020E-02   5.31400E-03
  19 <-  0  1.64976E+01    2.22630E-02   2.04710E-03  -9.09840E-03   1.72080E-02  -1.48370E-02   4.77940E-03
  20 <-  0  1.65468E+01    1.70910E-02   1.69400E-03  -7.43820E-03   1.41210E-02  -1.23580E-02   4.06320E-03
  21 <-  0  1.65866E+01    1.28540E-02   1.31860E-03  -5.74440E-03   1.09390E-02  -9.67690E-03   3.22730E-03
  22 <-  0  1.66164E+01    9.37790E-03   9.30620E-04  -4.03400E-03   7.70010E-03  -6.86120E-03   2.31010E-03
  23 <-  0  1.66360E+01    6.37990E-03   5.34110E-04  -2.30850E-03   4.41310E-03  -3.94970E-03   1.33740E-03
  24 <-  0  1.66454E+01    3.63150E-03   1.94230E-04  -8.38440E-04   1.60400E-03  -1.43850E-03   4.88390E-04
  25 <-  0  1.66486E+01    2.14240E-03   7.04700E-05  -3.04070E-04   5.81830E-04  -5.22160E-04   1.77430E-04
  26 <-  0  1.66497E+01    8.49830E-04   1.12440E-05  -4.85100E-05   9.28310E-05  -8.33300E-05   2.83240E-05
  DE <-  0  1.66497E+01   -3.63530E-05   1.50690E-02  -6.53780E-02   1.27530E-01  -1.18030E-01   4.14920E-02
