# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=0) -> e + D2(D1Pu) (sum over all final vibrational levels)
# Initial-state energy: -1.16742 Hartrees
#
# Threshold: 1.40372E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.40372E+01   0.00000E+00
  1.45000E+01   5.08628E-04
  1.50000E+01   3.37503E-03
  1.55000E+01   8.66494E-03
  1.60000E+01   1.51327E-02
  1.65000E+01   2.18917E-02
  1.70000E+01   2.86368E-02
  1.75000E+01   3.52703E-02
  1.80000E+01   4.17373E-02
  1.85000E+01   4.80162E-02
  1.90000E+01   5.41033E-02
  1.95000E+01   6.00004E-02
  2.00000E+01   6.57136E-02
  2.10000E+01   7.66053E-02
  2.20000E+01   8.68244E-02
  2.30000E+01   9.64336E-02
  2.40000E+01   1.05483E-01
  2.50000E+01   1.13967E-01
  2.60000E+01   1.21933E-01
  2.70000E+01   1.29460E-01
  2.80000E+01   1.36545E-01
  2.90000E+01   1.43224E-01
  3.00000E+01   1.49527E-01
  3.50000E+01   1.76050E-01
  4.00000E+01   1.95937E-01
  4.50000E+01   2.10790E-01
  5.00000E+01   2.21806E-01
  6.00000E+01   2.35543E-01
  7.00000E+01   2.41858E-01
  8.00000E+01   2.43464E-01
  9.00000E+01   2.42104E-01
  1.00000E+02   2.38855E-01
  1.25000E+02   2.26518E-01
  1.50000E+02   2.12175E-01
  2.00000E+02   1.84996E-01
  2.50000E+02   1.62660E-01
  3.00000E+02   1.44928E-01
  3.50000E+02   1.30774E-01
  4.00000E+02   1.19259E-01
  4.50000E+02   1.09618E-01
  5.00000E+02   1.01286E-01
