# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=0) -> e + D2(b3Su) (dissociative excitation)
# Initial-state energy: -1.16742 Hartrees
#
# Threshold: 4.55570E+00 eV
#
# Energy (eV)   CS (a_0^2)
  4.55570E+00   0.00000E+00
  5.00000E+00   2.62664E-09
  5.50000E+00   4.45724E-09
  6.00000E+00   1.04192E-08
  6.50000E+00   3.51612E-06
  7.00000E+00   2.80311E-05
  7.50000E+00   6.23497E-04
  8.00000E+00   4.68868E-03
  8.50000E+00   1.83183E-02
  9.00000E+00   9.39641E-02
  9.50000E+00   2.01286E-01
  1.00000E+01   5.15997E-01
  1.05000E+01   8.73844E-01
  1.10000E+01   1.23420E+00
  1.15000E+01   1.56337E+00
  1.20000E+01   1.66148E+00
  1.25000E+01   1.65690E+00
  1.30000E+01   1.60177E+00
  1.35000E+01   1.52049E+00
  1.40000E+01   1.40877E+00
  1.45000E+01   1.35354E+00
  1.50000E+01   1.30865E+00
  1.55000E+01   1.25411E+00
  1.60000E+01   1.19743E+00
  1.65000E+01   1.14122E+00
  1.70000E+01   1.08809E+00
  1.75000E+01   1.03716E+00
  1.80000E+01   9.86590E-01
  1.85000E+01   9.37486E-01
  1.90000E+01   8.90971E-01
  1.95000E+01   8.48166E-01
  2.00000E+01   8.10188E-01
  2.10000E+01   7.42627E-01
  2.20000E+01   6.80443E-01
  2.30000E+01   6.23238E-01
  2.40000E+01   5.70616E-01
  2.50000E+01   5.22180E-01
  2.60000E+01   4.77533E-01
  2.70000E+01   4.36278E-01
  2.80000E+01   3.98018E-01
  2.90000E+01   3.62356E-01
  3.00000E+01   3.28895E-01
  3.50000E+01   2.17664E-01
  4.00000E+01   1.60333E-01
  4.50000E+01   1.16872E-01
  5.00000E+01   9.07511E-02
  6.00000E+01   6.01489E-02
  7.00000E+01   4.19693E-02
  8.00000E+01   3.48618E-02
  9.00000E+01   2.65905E-02
  1.00000E+02   2.00941E-02
  1.25000E+02   1.02772E-02
  1.50000E+02   5.52618E-03
