# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=0) -> e + D2(c3Pu) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2/x + a1/x^2 + a2/x^3 + a3/x^4 + a4/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4
   0 <-  0  1.18051E+01    9.01570E-02  -1.47320E-01   1.04450E+00  -1.87030E+00   1.40680E+00
   1 <-  0  1.20137E+01    1.25200E-01  -2.81460E-01   2.06340E+00  -3.61810E+00   2.74100E+00
   2 <-  0  1.22147E+01    1.46910E-01  -3.82270E-01   2.74970E+00  -4.79180E+00   3.56760E+00
   3 <-  0  1.24081E+01    1.34990E-01  -3.19960E-01   2.40940E+00  -4.09870E+00   3.08950E+00
   4 <-  0  1.25940E+01    1.29750E-01  -2.91920E-01   2.14820E+00  -3.64800E+00   2.70410E+00
   5 <-  0  1.27727E+01    1.15530E-01  -2.28850E-01   1.67390E+00  -2.82570E+00   2.07620E+00
   6 <-  0  1.29442E+01    2.45390E-05   3.17500E-02   5.31540E-02   3.63390E-01  -8.63860E-02
   7 <-  0  1.31087E+01    8.14630E-02  -1.11500E-01   8.24030E-01  -1.37200E+00   9.99920E-01
   8 <-  0  1.32660E+01    6.76800E-02  -7.61310E-02   5.61900E-01  -9.30860E-01   6.72930E-01
   9 <-  0  1.34164E+01    3.60670E-02  -2.14670E-02   2.28150E-01  -3.43550E-01   2.75420E-01
  10 <-  0  1.35597E+01    4.31000E-02  -3.01830E-02   2.30860E-01  -3.73510E-01   2.67700E-01
  11 <-  0  1.36962E+01    3.40510E-02  -1.85960E-02   1.45190E-01  -2.31130E-01   1.64330E-01
  12 <-  0  1.38259E+01    2.39260E-02  -9.01190E-03   7.95550E-02  -1.20670E-01   8.71500E-02
  13 <-  0  1.39483E+01    2.78650E-06   1.74320E-03   8.23990E-03   1.19390E-02  -2.62920E-03
  14 <-  0  1.40633E+01    1.40470E-02  -2.97260E-03   3.04320E-02  -4.23630E-02   3.01380E-02
  15 <-  0  1.41706E+01    9.23000E-03  -1.21400E-03   1.67400E-02  -2.08570E-02   1.51770E-02
  16 <-  0  1.42700E+01    1.07280E-06   1.11610E-04   6.84330E-03  -5.35770E-03   4.74270E-03
  17 <-  0  1.43614E+01    7.66110E-07   5.78930E-04   1.77790E-04   7.61860E-03  -4.80840E-03
  18 <-  0  1.44442E+01    5.58450E-03  -4.33380E-04   5.65550E-03  -6.48790E-03   4.45100E-03
  19 <-  0  1.45180E+01    2.21310E-03  -3.97090E-05   2.68010E-03  -2.15880E-03   1.71220E-03
  20 <-  0  1.45824E+01    1.61190E-03  -1.66480E-05   1.81780E-03  -1.37790E-03   1.14870E-03
  21 <-  0  1.46367E+01    1.23270E-03  -8.86790E-06   1.24590E-03  -9.23770E-04   8.10280E-04
  22 <-  0  1.46804E+01    9.07800E-04  -4.09560E-06   8.32470E-04  -6.10220E-04   5.64920E-04
  23 <-  0  1.47131E+01    6.34070E-04  -1.43210E-06   5.27030E-04  -3.84950E-04   3.74100E-04
  24 <-  0  1.47351E+01    4.11450E-04  -1.85680E-07   3.02290E-04  -2.20490E-04   2.22530E-04
  25 <-  0  1.47478E+01    2.45660E-04   1.99030E-07   1.53130E-04  -1.11310E-04   1.15300E-04
  26 <-  0  1.47543E+01    1.45020E-04   1.94140E-07   7.36240E-05  -5.33250E-05   5.60920E-05
  27 <-  0  1.47574E+01    8.26800E-05   1.38230E-07   3.53060E-05  -2.54140E-05   2.70240E-05
  28 <-  0  1.47590E+01    5.34080E-05   6.68100E-08   1.62710E-05  -1.17150E-05   1.24950E-05
  29 <-  0  1.47597E+01    3.39920E-05   2.83880E-08   6.82840E-06  -4.91840E-06   5.25200E-06
  30 <-  0  1.47599E+01    1.88730E-05   1.19720E-08   2.57940E-06  -1.85180E-06   1.98310E-06
  DE <-  0  1.47600E+01    1.27120E-07   8.11940E-05   4.29140E-03  -3.71830E-03   6.24090E-03
